cluster_val;1;2;3;4
DOW_4_std;0.5513133408276584;0.7147285927999433;1.0168480347742102;1.7562021693401844
DOW_5_std;0.4889985079067432;0.7661153539800059;1.0352435964000846;1.718067279101008
DOW_6_std;0.4747888916949645;0.8305531411988019;1.0956134913084774;1.9020760219315693
is_chain_count;5570;11733;3296;5102
product_score_count;8515;13750;3916;5556
vendor_score_count;8515;13750;3916;5556
daytime_orders_count;4325;10248;3290;5098
evening_orders_count;3648;8928;2203;3386
chain_vendor_interaction_count;5570;11733;3296;5102
CLV_Score_count;8515;13750;3916;5556
value_retention_count;8515;13750;3916;5556
value_growth_count;8515;13750;3916;5556
growth_momentum_count;8515;13750;3916;5556
spend_consistency_count;8515;13750;3916;5556
avg_order_value_count;8515;13750;3916;5556
active_spend_rate_count;8515;13750;3916;5556
Beverages_Cafe_count;903;2814;1000;1949
